"Weekly deaths by sex and age group, 2018",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Week,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sex,Age,All,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53
female,0,80,1,2,1,4,1,3,2,2,1,3,0,3,1,0,1,4,1,3,0,2,1,1,0,2,1,1,2,2,1,1,0,1,3,0,0,1,2,3,1,1,2,2,1,3,3,1,1,0,1,3,3,1,0
,1-4,13,0,1,1,0,0,0,0,1,0,0,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0
,5-9,12,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,2,0,0,0,1,1,0,0
,10-14,16,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,2,0,0,1,0,1,0,1,0,2,0,0,0,0,0
,15-19,31,0,2,0,0,0,1,0,1,1,0,2,0,0,0,0,1,1,0,1,0,0,1,1,0,0,0,0,2,1,1,0,1,1,3,0,0,0,0,0,0,0,1,0,1,0,1,2,0,0,2,3,0,0
,20-24,52,1,1,1,2,0,1,0,0,1,2,0,4,0,1,1,0,2,2,1,4,0,2,2,1,2,1,0,1,0,1,0,1,1,0,0,1,2,1,2,0,0,2,1,0,1,1,0,0,1,2,1,1,0
,25-29,73,1,0,1,2,1,0,3,4,0,1,2,4,0,5,3,5,1,0,2,0,0,2,3,1,2,0,2,2,3,1,0,2,0,0,0,1,1,0,0,0,2,1,2,2,0,0,2,3,1,3,2,0,0
,30-34,111,3,5,2,1,1,5,1,3,3,3,1,1,3,5,4,2,3,3,2,1,2,3,1,1,3,2,1,3,3,0,3,0,2,3,5,2,1,3,0,2,1,1,2,3,1,2,2,0,1,2,2,2,0
,35-39,210,6,6,6,9,6,3,7,3,4,4,3,6,1,3,7,5,3,5,2,4,1,2,4,6,3,2,2,4,3,1,5,5,2,8,7,4,5,4,0,8,3,5,7,1,3,2,3,4,2,4,3,4,0
,40-44,265,2,6,9,4,3,6,4,4,8,12,3,6,5,3,2,9,3,3,5,4,10,9,8,5,2,5,5,7,7,5,2,3,1,3,8,5,9,3,8,6,5,5,4,6,3,2,4,3,6,6,6,3,0
,45-49,422,9,12,11,13,6,7,5,11,6,18,8,6,11,7,14,10,11,10,11,8,3,9,6,5,4,6,9,1,4,13,16,7,10,9,5,9,8,6,7,9,5,6,5,8,10,6,7,5,7,9,6,8,0
,50-54,719,10,26,21,24,19,14,18,16,10,17,20,10,8,11,22,16,12,10,15,13,11,15,10,15,12,13,8,13,14,11,9,16,16,14,6,14,22,9,13,14,15,9,21,16,7,13,12,11,7,17,16,8,0
,55-59,952,23,19,21,14,12,17,26,25,19,20,14,24,21,24,28,23,18,18,22,12,25,13,25,12,13,22,20,20,17,14,16,13,16,14,15,24,15,18,16,18,19,16,22,16,21,15,17,14,16,17,20,13,0
,60-64,1337,31,48,34,23,32,34,38,28,22,33,20,18,25,20,32,20,22,26,33,32,16,25,16,27,30,16,22,24,29,26,23,24,25,17,31,15,28,11,25,19,22,24,28,32,27,26,23,26,27,32,29,21,0
,65-69,1875,50,53,48,46,45,42,46,38,41,49,37,41,27,36,39,37,37,35,31,36,40,40,30,24,35,37,47,30,35,32,38,26,39,26,30,27,34,19,33,26,28,28,27,36,29,37,36,41,32,46,37,36,0
,70-74,2796,87,92,82,80,82,52,62,66,44,69,52,47,58,54,64,51,52,43,46,51,52,48,41,37,47,50,58,50,47,41,47,52,40,51,39,48,61,45,29,43,40,50,46,53,60,54,57,53,49,52,75,47,0
,75-79,3661,114,121,103,98,82,74,76,98,54,83,83,78,61,83,61,101,51,73,49,52,67,49,61,55,67,67,83,58,53,54,71,58,80,58,58,64,52,62,71,61,54,58,78,76,64,80,69,63,69,75,70,61,0
,80-84,4912,152,166,136,146,99,106,101,109,83,131,98,103,90,101,90,75,96,83,90,75,102,94,97,75,96,84,76,79,69,69,84,85,84,81,80,87,69,85,83,84,101,80,85,80,92,102,81,85,91,122,119,81,0
,85-89,5540,159,216,191,147,148,131,122,118,102,147,132,121,95,115,110,109,103,116,88,102,97,100,94,87,77,82,117,98,73,91,66,85,66,84,80,95,88,81,87,98,84,88,104,105,108,91,93,106,118,110,105,110,0
,90+,6608,220,268,248,230,185,157,141,152,116,186,154,117,129,141,127,119,94,114,89,102,105,95,104,90,117,106,98,103,102,104,98,93,86,107,108,106,117,103,110,94,132,125,120,115,119,131,115,93,137,135,121,130,0
male,0,82,0,6,0,2,2,3,0,0,5,0,1,1,0,4,3,3,1,3,1,1,1,1,0,0,0,0,1,2,2,3,1,0,4,0,2,2,4,1,1,0,2,2,3,0,1,0,5,0,0,2,1,5,0
,1-4,15,0,1,0,1,1,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0
,5-9,11,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,2,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0
,10-14,16,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,2,0,0,0,1,0,0,0,1,2,2,0,0
,15-19,76,1,0,0,0,1,2,2,1,0,1,2,0,2,2,1,1,3,1,3,4,1,2,1,1,3,1,0,4,1,1,0,3,0,0,2,4,1,1,0,1,4,2,0,2,2,1,1,3,3,3,1,0,0
,20-24,129,1,2,2,5,4,0,3,5,3,5,2,2,2,3,2,3,2,4,1,2,1,1,2,4,3,3,2,2,3,3,1,3,3,1,2,2,0,0,4,2,10,4,1,2,2,2,3,0,2,3,5,0,0
,25-29,199,2,4,2,2,0,6,5,1,4,5,7,5,0,7,4,6,1,4,2,7,4,3,7,3,4,6,1,6,2,4,8,5,4,1,0,3,2,6,2,3,5,3,4,2,3,7,5,9,1,5,5,2,0
,30-34,240,6,6,4,5,5,4,5,8,6,5,8,4,6,3,8,2,1,5,8,5,3,5,3,3,5,3,5,1,6,1,6,6,4,2,5,6,6,2,9,4,5,4,2,5,3,4,4,5,4,5,10,0,0
,35-39,346,8,4,3,11,6,8,8,3,5,6,10,8,5,8,6,12,8,4,5,6,8,8,12,12,6,7,7,2,9,9,12,6,3,7,4,10,3,5,10,10,9,4,3,5,11,2,5,7,7,4,3,2,0
,40-44,475,8,6,7,12,10,13,13,10,8,12,9,9,6,15,8,6,15,10,4,10,8,4,9,10,15,11,11,7,11,6,6,8,10,3,3,6,9,11,13,12,11,6,9,9,12,13,10,8,8,12,5,8,0
,45-49,730,14,14,17,20,15,29,19,12,11,16,19,14,11,6,18,22,13,16,11,16,6,11,19,17,13,15,12,12,17,14,14,12,14,7,10,7,15,11,14,11,10,16,13,17,14,11,15,10,17,16,15,12,0
,50-54,972,14,28,19,22,21,19,19,17,16,17,13,22,19,20,22,23,20,24,17,26,14,14,8,29,19,22,14,10,18,25,16,15,16,24,26,13,24,15,11,31,10,16,14,15,11,18,20,31,17,13,23,22,0
,55-59,1386,32,39,38,27,28,35,33,31,25,36,21,29,22,22,37,26,37,26,24,20,37,23,26,17,21,31,24,23,22,20,19,30,26,28,27,23,19,26,26,42,16,24,23,21,33,21,18,36,20,25,26,25,0
,60-64,1818,31,55,38,44,47,38,40,39,40,41,37,43,37,32,55,39,27,34,33,21,35,31,33,27,25,35,31,38,36,28,35,31,40,27,31,29,34,20,27,38,31,35,27,42,43,34,39,31,35,38,28,33,0
,65-69,2564,45,76,48,63,54,58,68,56,43,74,42,52,47,60,64,33,41,65,49,48,39,51,54,47,47,43,58,44,30,30,58,43,45,39,41,47,45,48,42,45,44,42,51,48,54,43,38,52,41,66,55,48,0
,70-74,3461,83,111,90,87,87,61,63,59,56,84,68,64,61,62,69,77,61,67,56,68,66,57,61,61,59,83,51,73,63,66,60,58,56,52,51,55,57,62,74,61,74,57,52,73,68,76,68,78,62,64,75,54,0
,75-79,4108,91,116,109,94,88,85,100,79,74,92,91,76,78,99,71,83,73,76,71,65,75,72,81,72,77,72,81,71,65,73,62,65,74,71,69,66,72,69,74,60,83,90,76,83,92,74,82,72,75,84,79,86,0
,80-84,4739,123,144,133,141,110,102,112,92,81,125,115,103,78,92,92,91,72,91,68,77,81,77,100,81,70,98,90,77,78,73,79,74,78,69,83,81,85,77,86,91,105,93,72,79,102,84,92,72,83,93,110,84,0
,85-89,4071,108,133,118,127,90,86,90,80,75,105,78,76,88,79,76,73,57,67,76,57,94,76,64,59,69,78,60,71,59,55,61,74,75,73,60,63,73,90,82,78,79,69,69,77,82,75,73,81,76,75,81,81,0
,90+,3079,94,107,84,104,78,63,82,72,55,72,65,60,52,67,50,48,65,51,49,46,63,54,48,29,44,44,43,58,45,56,52,45,54,57,40,47,54,48,52,69,68,62,46,50,61,52,56,57,58,62,71,70,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
© Crown Copyright 2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
